datetime,open,high,low,close,volume,trades,taker_buy,taker_sell,RSI,ATR
2020-01-14,8112.99,8893.0,8109.02,8825.0,290777.981,652920,149457.707,141320.27400000003,74.75743515630944,364.04571428571444
2020-01-15,8825.0,8921.2,8570.52,8825.3,237633.837,435491,115421.367,122212.47,74.7597389756773,382.6457142857144
2020-01-16,8825.35,8868.21,8596.25,8725.08,167958.963,294579,83305.758,84653.20499999999,77.96931218945727,381.5292857142858
2020-01-17,8724.99,9039.0,8680.0,8918.72,205717.686,390463,102758.035,102959.65099999998,76.58731496779852,368.3264285714286
2020-01-18,8918.73,8995.0,8816.0,8925.0,114708.682,220520,57164.221,57544.461,76.56590133615033,371.77000000000004
2020-01-19,8925.0,9205.3,8440.91,8705.85,225314.525,444795,109554.498,115760.02699999999,71.25993789503823,412.65500000000003
2020-01-20,8705.98,8750.37,8526.06,8650.0,125161.675,240897,60421.576,64740.099,65.76319795430385,395.55928571428586
2020-01-21,8650.0,8790.1,8448.6,8742.43,107577.153,200875,53560.546,54016.607,61.6651638825614,385.5000000000001
2020-01-22,8742.78,8820.0,8585.85,8684.57,94305.496,180455,46246.208,48059.288,62.525412514786375,359.4885714285715
2020-01-23,8684.47,8694.0,8326.0,8409.6,163407.064,335447,79123.155,84283.90900000001,61.691268688898845,363.6321428571429
2020-01-24,8410.0,8528.0,8247.0,8441.96,144785.391,316370,72647.472,72137.91900000001,55.408187231455756,345.08785714285716
2020-01-25,8442.82,8455.0,8272.0,8344.64,96961.714,186872,47660.876,49300.83800000001,57.78207874288018,337.565
2020-01-26,8344.37,8624.45,8300.0,8611.21,117898.916,218347,61183.604,56715.312,59.724646645133205,343.68857142857144
2020-01-27,8611.21,9015.48,8565.0,8913.61,172235.328,359034,88760.412,83474.91600000001,66.60086673440192,365.4214285714285
2020-01-28,8913.61,9436.06,8905.0,9398.98,244467.546,455985,123183.084,121284.462,63.13623713793988,347.35571428571427
2020-01-29,9399.72,9460.52,9242.0,9311.0,169460.643,338155,82813.375,86647.26800000001,60.686938919204394,337.9157142857143
2020-01-30,9311.23,9599.0,9210.42,9525.67,190137.536,393732,96408.369,93729.16699999999,66.770848607998,346.2457142857143
2020-01-31,9525.67,9550.72,9220.0,9364.51,146644.026,266727,70753.403,75890.623,59.467288489065034,344.2257142857143
2020-02-01,9364.5,9477.76,9306.0,9392.74,109040.285,229569,54324.089,54716.196,59.841687988149744,343.7085714285714
2020-02-02,9392.99,9489.92,9160.01,9338.2,148402.977,285872,72902.026,75500.95100000002,64.29549986209767,312.67428571428576
2020-02-03,9340.49,9647.61,9250.0,9300.64,159049.385,313233,79180.283,79869.10200000001,64.83163279262521,325.05285714285714
2020-02-04,9300.63,9368.0,9105.0,9198.35,147843.902,282503,71776.668,76067.234,60.34639265095677,319.44571428571425
2020-02-05,9198.32,9799.08,9179.88,9630.0,212311.697,387332,111557.886,100753.81099999999,68.34311834758081,346.9492857142858
2020-02-06,9630.0,9884.0,9550.0,9778.12,200556.367,366953,98843.932,101712.435,77.92647190864497,344.52071428571435
2020-02-07,9777.97,9900.0,9736.66,9821.52,129740.767,244078,63763.916,65976.85100000001,78.02548288275116,336.1164285714286
2020-02-08,9821.52,9956.0,9680.55,9906.43,129267.269,238583,65282.12,63985.149,81.88823325234297,342.72000000000014
2020-02-09,9906.09,10184.34,9892.15,10167.38,143407.013,270733,72981.764,70425.24900000001,81.84657195597634,340.4157142857144
2020-02-10,10167.37,10213.56,9750.0,9865.56,184242.737,333889,89129.888,95112.84899999999,69.48600904755082,341.3500000000001
2020-02-11,9865.56,10409.96,9729.36,10229.06,190119.815,381836,98272.116,91847.69900000001,67.88364256844685,352.0314285714286
2020-02-12,10230.74,10479.98,10229.71,10339.99,159674.258,336615,80738.924,78935.334,71.95197399017806,354.3457142857143
2020-02-13,10339.64,10540.0,10101.0,10239.63,213052.717,454247,101980.087,111072.63,66.01223636640918,357.94714285714286
2020-02-14,10240.02,10390.0,10123.37,10356.82,130975.746,267110,67096.628,63879.118,72.70264705209453,353.3692857142857
2020-02-15,10356.27,10389.75,9752.3,9914.99,152146.127,325934,70415.864,81730.263,60.046940228160295,386.6328571428572
2020-02-16,9914.31,10060.45,9626.64,9921.86,141547.956,321449,69642.561,71905.395,61.43812368208577,394.05428571428587
2020-02-17,9921.87,9971.0,9461.89,9716.0,185338.179,399493,89956.126,95382.053,57.6361924932345,402.0185714285716
2020-02-18,9716.0,10270.0,9598.0,10174.32,166119.369,398826,84019.968,82099.40100000001,65.86576757886795,431.2328571428573
2020-02-19,10174.53,10286.0,9293.07,9593.65,187495.927,442535,86400.201,101095.726,49.436386922315975,457.92785714285725
2020-02-20,9593.31,9700.0,9382.59,9601.99,143105.587,340441,69158.41,73947.177,47.14533460834048,456.74285714285725
2020-02-21,9601.51,9759.59,9547.0,9681.39,98954.288,222939,49439.472,49514.816,47.75501049359969,460.2607142857144
