datetime,open,high,low,close,volume,trades,taker_buy,taker_sell,RSI,ATR
2020-01-01,129.12,132.96,128.62,130.62,466063.929,40168,232492.871,233571.058,,
2020-01-02,130.63,130.75,126.25,127.11,523582.924,47479,253840.635,269742.289,,
2020-01-03,127.11,135.07,125.78,134.29,951123.597,106861,486159.153,464964.44399999996,,
2020-01-04,134.31,135.8,132.41,134.14,509778.108,65138,257304.84,252473.268,,
2020-01-05,134.14,138.17,134.12,135.33,669677.687,71080,332189.944,337487.743,,
2020-01-06,135.32,144.38,134.82,144.04,1095147.166,89851,565039.363,530107.803,,
2020-01-07,144.11,145.25,138.7,142.86,963331.505,82275,481985.847,481345.658,,
2020-01-08,142.86,147.94,137.15,140.75,1208133.766,117669,593769.495,614364.2710000001,,
2020-01-09,140.76,141.52,135.33,137.73,956864.213,79801,460011.726,496852.48699999996,,
2020-01-10,137.73,145.15,135.22,144.8,908378.249,88107,451491.742,456886.5069999999,,
2020-01-11,144.8,148.03,142.0,142.4,832163.204,83777,400748.783,431414.42100000003,,
2020-01-12,142.4,146.6,141.71,146.57,630256.911,63661,329084.039,301172.872,,
2020-01-13,146.57,147.0,142.32,143.58,558655.672,55178,279441.457,279214.215,,
2020-01-14,143.57,171.0,143.49,165.77,2169559.414,200718,1093708.213,1075851.201,76.6813420373463,7.978571428571428
2020-01-15,165.75,172.18,159.35,166.6,1391999.279,161755,659342.288,732656.9910000002,76.97151424287856,8.584999999999999
2020-01-16,166.61,167.63,158.43,164.37,784199.474,96110,371086.603,413112.87100000004,78.47752980739835,8.920714285714284
2020-01-17,164.39,174.79,162.27,170.06,946707.348,132234,457329.539,489377.809,77.97591115282341,9.15142857142857
2020-01-18,170.06,179.57,165.08,174.43,819444.357,126514,390507.838,428936.519,79.55979457079974,9.94428571428571
2020-01-19,174.37,178.42,161.81,167.04,742371.819,123733,340703.545,401668.27400000003,71.32481506388702,10.841428571428567
2020-01-20,167.04,169.48,161.5,167.03,390055.869,60886,177886.786,212169.083,67.50952018278753,10.728571428571424
2020-01-21,167.01,170.34,165.02,169.52,351565.999,48717,170834.392,180731.60700000002,69.9074074074074,10.64071428571428
2020-01-22,169.62,171.61,166.12,168.19,334378.174,46337,163071.874,171306.3,70.7313387730432,10.262142857142852
2020-01-23,168.24,168.38,159.41,162.97,481102.22,67538,222287.501,258814.71899999998,68.45568879789414,10.46071428571428
2020-01-24,162.97,164.65,155.72,162.63,472568.424,64720,227946.374,244622.05,64.46066504460664,10.389285714285709
2020-01-25,162.66,163.0,157.8,160.52,282785.555,42072,139386.142,143399.413,64.76531942633639,10.329999999999995
2020-01-26,160.5,168.16,159.5,167.9,326188.863,43835,165546.267,160642.59600000002,66.5169583397863,10.59928571428571
2020-01-27,167.98,172.26,165.28,170.21,418039.792,53201,205608.964,212430.828,70.84050712161527,10.763571428571423
2020-01-28,170.25,176.7,170.22,175.88,525282.459,72110,270004.061,255278.39800000004,60.671310956301454,9.26214285714285
2020-01-29,175.89,178.85,173.3,173.8,401619.605,57915,185615.397,216004.20799999998,57.40436034553684,8.742142857142849
2020-01-30,173.86,187.4,171.07,185.14,653770.608,86918,326526.705,327243.903,67.98891390957908,9.251428571428564
2020-01-31,185.16,186.34,175.5,180.14,672522.049,82806,314492.275,358029.774,58.835904628330994,9.131428571428566
2020-02-01,180.14,184.58,179.41,183.82,526688.019,73274,249313.968,277374.051,58.3318544809228,8.465714285714283
